대학(볼드체 단과대),종류,링크,비고,,,,
생명과학과,Undergraduate Notice,http://bio.skku.edu/bbs/board.php?bo_table=N4,,,,,
생명과학과,Graduate Notice,http://bio.skku.edu/bbs/board.php?bo_table=N5,,,,,
생명과학과,Department Notice,http://bio.skku.edu/bbs/board.php?bo_table=N3,,,,,
수학과,학부,https://math.skku.edu/math/community/under_notice.do,,,,,
수학과,대학원,https://math.skku.edu/math/community/grad_notice.do,,,,,
물리학과,공지사항,https://physics.skku.edu/physics/notice/notice.do,,,,,
화학과,Notice,https://chem.skku.edu/chem/News/notice.do,,,,,
정보통신대학,학부,https://ice.skku.edu/ice/notice.do,,,,,
정보통신대학,대학원,https://ice.skku.edu/ice/notice_grad.do,,,,,
전자전기공학부,학부공지,https://eee.skku.edu/eee/notice.do,,,,,
전자전기공학부,취업공지,https://eee.skku.edu/eee/notice_job.do,,,,,
반도체시템공학과,공지사항,https://semi.skku.edu/semi/community/notice.do,킹고 로그인 필요,,,,
소재부품융합공학과,공지사항,https://skb.skku.edu/mcce/notice.do,,,,,
반도체융합공학과,공지사항,https://sce.skku.edu/sce/notice.do,킹고 로그인 필요,,,,
소프트웨어융합대학,학부,https://sw.skku.edu/sw/notice.do,,,,,
소프트웨어융합대학,대학원,https://sw.skku.edu/sw/notice_grad.do,,,,,
소프트웨어학과,학부,https://cse.skku.edu/cse/notice.do,,,,,
소프트웨어학과,대학원,https://cse.skku.edu/cse/notice_grad.do,,,,,
소프트웨어학과,공지사항(BK21),https://cse.skku.edu/cse/bk21_notice.do,,,,,
글로벌융합학부,글로벌융합학부 공통,https://sco.skku.edu/sco/community/notice.do,,,,,
데이터사이언스융합전공,데이터사이언스융합전공,https://sco.skku.edu/sco/community/major_data.do,,,,,
인공지능융합전공,인공지능융합전공,https://sco.skku.edu/sco/community/major_info.do,,,,,
컬처앤테크놀로지융합전공,컬처앤테크놀로지융합전공,https://sco.skku.edu/sco/community/major_culture.do,,,,,
자기설계융합전공,자기설계 융합전공,https://sco.skku.edu/sco/community/major_magnetic.do,,,,,
지능형소프트웨어학과,학부,https://intelligentsw.skku.edu/intelligentsw/notice.do,,,,,
지능형소프트웨어학과,대학원,https://intelligentsw.skku.edu/intelligentsw/grad_notice.do,,,,,
공과대학,학부,https://enc.skku.edu/enc/notice.do,,,,,
공과대학,대학원,https://enc.skku.edu/enc/notice_grad.do,,,,,
화학공학부,ALL,https://cheme.skku.edu/notice/,,,,,
화학공학부,학부,https://cheme.skku.edu/notice-undergraduate/,,,,,
화학공학부,대학원,https://cheme.skku.edu/notice-graduate/,,,,,
신소재공학부,학부공지,https://amse.skku.edu/AMSE/notice.do,,,,,
신소재공학부,학과공지(대학원),https://amse.skku.edu/AMSE/notice_grad.do,,,,,
기계공학부,학부공지,https://mech.skku.edu/me/notice.do,,,,,
기계공학부,대학원공지,https://mech.skku.edu/me/notice_grad.do,,,,,
건설환경공학부,UNDERGRAD NOTICE,https://cal.skku.edu/index.php?hCode=BOARD&bo_idx=17,,,,,
건설환경공학부,GRADUATE NOTICE,https://cal.skku.edu/index.php?hCode=BOARD&bo_idx=18,,,,,
시스템경영공학과,학부,https://sme.skku.edu/iesys/notice.do,,,,,
시스템경영공학과,대학원,https://sme.skku.edu/iesys/notice2.do,,,,,
시스템경영공학과,채용/모집,https://sme.skku.edu/iesys/job.do,,,,,
건축학과(건축학계열),NOTICE,https://arch.skku.edu/arch/NEWS/notice.do,,,,,
나노공학과,공지사항,http://nano.skku.edu/bbs/board.php?tbl=bbs42,,,,,
양자정보공학과,학과공지,https://qie.skku.edu/qie/notice.do,,,,,
양자정보공학과,취업공지,https://qie.skku.edu/qie/notice_job.do,,,,,
약학대학,공지사항,https://pharm.skku.edu/bbs/board.php?bo_table=notice,,,,,
약학과,-,X,약학대학과 동일,,,,
바이오신약규제과학과,공지사항,https://biopharm.skku.edu/bbs/board.php?bo_table=notice,,,,,
생명공학대학,학부,https://biotech.skku.edu/biotech/notice_under.do,,,,,
생명공학대학,대학원,https://biotech.skku.edu/biotech/notice_grad.do,,,,,
식품생명공학과,학부,https://skb.skku.edu/foodlife/community/notice.do,,,,,
식품생명공학과,대학원,https://skb.skku.edu/foodlife/community/notice_grad.do,,,,,
바이오메카트로닉스학과,공지사항,https://skb.skku.edu/biomecha/community/notice.do,,,,,
융합생명공학과,학과,https://skb.skku.edu/gene/community/under_notice.do,,,,,
융합생명공학과,공지사항(BK21),https://skb.skku.edu/gene/BK21/bk21_notice_.do,,,,,
융합생명공학과,세미나(BK21),https://skb.skku.edu/gene/BK21/bk21_seminar.do,,,,,
융합생명공학과,채용/모집(BK21),https://skb.skku.edu/gene/BK21/bk21_recruit.do,,,,,
스포츠과학대학,학부,https://sport.skku.edu/sports/community/under_notice.do,,,,,
스포츠과학대학,대학원,https://sport.skku.edu/sports/community/grade_notice.do,,,,,
스포츠과학대학,교양체육,https://sport.skku.edu/sports/community/liberal_notice.do,,,,,
스포츠과학대학,시설/대관,https://sport.skku.edu/sports/community/facility_notice.do,,,,,
스포츠과학과,-,X,스포츠과학대학과 동일,,,,
의과대학,공지사항,https://www.skkumed.ac.kr/community_notice.asp,,,,,
의학과,-,X,의과대학과 동일,,,,
성균융합원,공지사항(학부),https://ics.skku.edu/ics/notice.do,,,,,
성균융합원,공지사항(대학원),https://ics.skku.edu/ics/notice_grad.do,,,,,
글로벌바이오메디컬공학과,학부,https://gbme.skku.edu/gbme/community/under_notice.do,,,,,
글로벌바이오메디컬공학과,대학원,https://gbme.skku.edu/gbme/community/grad_notice.do,,,,,
응용AI융합학부,공지사항,https://aicon.skku.edu/aicon/notice.do,,,,,
에너지학과,공지사항(학부),https://energy.skku.edu/energy/notice.do,,,,,
에너지학과,공지사항(대학원),https://does.skku.edu/notice,,,,,
배터리학과,공지사항,https://ssbat.skku.edu/ssbat/notice.do,,,,,
글로벌 프로그램,교환학생 공지사항,https://www.skku.edu/skku/international/globalComm/international01.do,,,,,
글로벌 프로그램,단기파견 공지사항,https://www.skku.edu/skku/international/globalComm/international03.do,,,,,
명륜학사,공지사항,https://dorm.skku.edu/dorm_seoul/notice/notice_all.jsp,,,,,
봉룡학사,공지사항,https://dorm.skku.edu/dorm_suwon/notice/notice_all.jsp,,,,,
창업지원단,공지사항,https://skkustartup.kr/notice_s,,,,,
